"country","year","militaryexpenditures","lifeExp","GDPpercap","GDP","HIV","healthcare","womenEd","menEd"
"Mongolia",1988,9.36194719873763,61.61,1077952.51515907,2260092374807.8,NA,NA,6.2,7.5
"Morocco",1988,4.13214296885418,66.38,2290515.2254,55048016547058.6,NA,NA,0.9,2.5
"Mozambique",1988,3.05020248238644,50.74,348415.16528705,4646540250358.96,NA,NA,0.6,2
"Myanmar",1988,2.09855304733809,56.93,NA,NA,NA,NA,2.6,3.6
"Nepal",1988,1.08444074584558,56.68,340148.583987908,6185009460986.78,NA,NA,0.4,2.2
"Netherlands",1988,2.77348848324418,76.98,35118891.4591316,518356537387932,NA,NA,8.9,9.7
"New Zealand",1988,1.90831081820705,74.64,23447161.8845858,76986411331849.2,NA,NA,9.5,9.7
"Nigeria",1988,0.826201606962126,53.88,650409.648779948,60313334862054.4,NA,NA,1.6,3.7
"Norway",1988,2.89308542614926,76.17,53983793.169143,227244129539990,NA,NA,10.5,11
"Oman",1988,18.2663978911459,70.7,13096764.6692328,22672699898906.4,NA,NA,1.8,3.7
"Pakistan",1988,7.00337158486032,61.45,870217.72642829,91662177341169.8,NA,NA,0.8,3
"Panama",1988,2.11303723458816,74.34,5570974.0982593,12919283917956.8,NA,NA,7,7
"Papua New Guinea",1988,1.26494433629167,55.47,1244943.79342422,4930085732069.94,NA,NA,1.3,2.9
"Philippines",1988,2.45888921422154,67.05,1906478.70790158,111666406239200,NA,NA,6.7,7.1
"Poland",1988,2.49757836152109,71.49,NA,NA,NA,NA,10,10.4
"Portugal",1988,2.42499437995779,74.02,15798309.5688136,158292900538780,NA,NA,4.4,5.1
"Romania",1988,4.31738623103851,69.98,4290821.48674006,98936311543589.6,NA,NA,8.6,9.7
"Rwanda",1988,1.5289685147702,49.96,491855.946180336,3430012306352.36,NA,NA,1.1,2.4
"Saudi Arabia",1988,15.1519283331147,72.85,17674663.1234313,265927838028178,NA,NA,1.7,5.1
"Senegal",1988,1.99552954497132,56.86,981068.268675308,6706882260450.28,NA,NA,0.6,1.7
"Seychelles",1988,4.28010471204188,69.31,9648722.60685158,664290560897.842,NA,NA,6.9,6.2
"Sierra Leone",1988,0.670456212977198,52.36,506235.036337154,1948961859919.95,NA,NA,0.6,1.7
"Singapore",1988,4.55468436243802,74.1,27853908.391881,79272223283293,NA,NA,4.1,5.9
"Somalia",1988,2.78901035318516,49.19,NA,NA,NA,NA,0.3,1.5
"South Africa",1988,4.00547682436956,61.29,6445309.67902128,217390626255876,NA,NA,5.1,5.7
"Spain",1988,1.96364522878858,76.82,20911587.8177544,809609876302418,NA,NA,5.1,5.8
"Sri Lanka",1988,2.38758097503401,70.16,1087230.40140867,18046937432982.5,NA,NA,5.9,7.1
"Sudan",1988,2.62846628991983,58.44,537433.30936,13716323877063.9,NA,NA,1.1,3.1
"Swaziland",1988,1.25850126503022,60.13,2080618.24298196,1667698746479.77,NA,NA,3.3,4.1
"Sweden",1988,2.53774699679023,77.01,45913123.6832984,387345562909788,NA,NA,10.1,10.3
"Switzerland",1988,1.69576670676093,77.49,64423636.6194552,415613681935102,NA,NA,10.6,12.1
"Syria",1988,7.30998044640517,69.75,2068400.2664976,24023521768047.6,NA,NA,2,4.3
"Tanzania",1988,1.40197065734652,55.51,583994.64618,13588525834226.2,NA,NA,1.7,3.6
"Thailand",1988,2.86574469635267,70.38,2298367.99413422,127261844776777,NA,NA,4.3,5.5
"Togo",1988,3.12500576594488,57.42,577879.852731172,2008679108675.86,NA,NA,0.8,2.8
"Tunisia",1988,2.30930882386902,70.48,3139316.22620714,24667550766783.2,NA,NA,1.6,4.7
"Turkey",1988,2.94061884549756,66.96,6515836.55072278,340638154601124,NA,NA,2.8,5.1
