"country","year","militaryexpenditures","lifeExp","GDPpercap","lit","HIV","HC"
"Seychelles",1988,4.28010471204188,69.31,9648722.60685158,NA,NA,NA
"Sierra Leone",1988,0.670456212977198,52.36,506235.036337154,NA,NA,NA
"Singapore",1988,4.55468436243802,74.1,27853908.391881,NA,NA,NA
"Somalia",1988,2.78901035318516,49.19,NA,NA,NA,NA
"South Africa",1988,4.00547682436956,61.29,6445309.67902128,NA,NA,NA
"Spain",1988,1.96364522878858,76.82,20911587.8177544,NA,NA,NA
"Sri Lanka",1988,2.38758097503401,70.16,1087230.40140867,NA,NA,NA
"Sudan",1988,2.62846628991983,58.44,537433.30936,NA,NA,NA
"Swaziland",1988,1.25850126503022,60.13,2080618.24298196,NA,NA,NA
"Sweden",1988,2.53774699679023,77.01,45913123.6832984,NA,NA,NA
"Switzerland",1988,1.69576670676093,77.49,64423636.6194552,NA,NA,NA
"Syria",1988,7.30998044640517,69.75,2068400.2664976,NA,NA,NA
"Tanzania",1988,1.40197065734652,55.51,583994.64618,59.1138035189359,NA,NA
"Thailand",1988,2.86574469635267,70.38,2298367.99413422,NA,NA,NA
"Togo",1988,3.12500576594488,57.42,577879.852731172,NA,NA,NA
"Tunisia",1988,2.30930882386902,70.48,3139316.22620714,NA,NA,NA
"Turkey",1988,2.94061884549756,66.96,6515836.55072278,NA,NA,NA
"Uganda",1988,3.86648193813733,51.42,352842.135060004,NA,NA,NA
"United Kingdom",1988,4.03021880420472,75.23,39192850.7672742,NA,NA,NA
"United States",1988,5.79017760129596,75.02,54777236.0441842,NA,NA,NA
"Uruguay",1988,3.16510398147667,72.61,10500667.1116578,NA,NA,NA
"Vietnam",1988,5.13618675610265,68.68,420750.840891406,NA,NA,NA
"Zambia",1988,2.32618498689693,53.33,831698.498020016,NA,NA,NA
"Zimbabwe",1988,4.95503147380905,64.39,1013978.5370909,NA,NA,NA
"Albania",1989,5.16567637335278,73.3,2184949.1444294,NA,NA,NA
"Algeria",1989,1.53555395926921,69.81,3729425.16411388,NA,NA,NA
"Argentina",1989,1.77556383818821,72.26,11600113.963325,NA,NA,NA
"Australia",1989,2.14553092936202,76.4,34399822.0485104,NA,NA,NA
"Austria",1989,1.23237184250604,75.43,37066951.6036326,NA,NA,NA
"Bahrain",1989,5.09396285330294,71.61,18617096.0303489,NA,NA,NA
"Bangladesh",1989,1.18605700888616,57.42,542183.424456354,NA,NA,NA
"Belgium",1989,2.39242325008156,75.59,36444442.1389682,NA,NA,NA
"Belize",1989,1.19785207444408,71.54,4619479.27299956,NA,NA,NA
"Benin",1989,1.8988224505206,55.42,591227.493695232,NA,NA,NA
"Bolivia",1989,2.16639393314508,60.98,1703645.25382013,NA,NA,NA
"Botswana",1989,3.33142889330576,62.69,4508502.41802842,NA,NA,NA
"Brazil",1989,2.51412544936174,67.47,7129272.37807146,NA,NA,NA
"Brunei",1989,6.23437304161469,73.54,38818662.8346556,NA,NA,NA
"Bulgaria",1989,4.29518518319207,71.55,3611424.7305283,NA,NA,NA
"Burkina Faso",1989,2.10931477331055,51.42,344855.622655416,NA,NA,NA
"Burundi",1989,3.39475962272905,46.1,360222.568714624,NA,NA,NA
"Cameroon",1989,1.37200762489094,58.22,1458733.99155498,NA,NA,NA
"Canada",1989,1.93469032791671,77.09,39635986.8312488,NA,NA,NA
"Chile",1989,4.07792344220025,72.79,6022355.9287498,NA,NA,NA
"China",1989,2.58940814368861,66.56,765784.310659796,NA,NA,NA
"Colombia",1989,2.22784611969364,71.32,4471733.06206766,NA,NA,NA
"Cote d'Ivoire",1989,1.33003716608526,55.46,1386615.65982001,NA,NA,NA
"Cuba",1989,6.53027153980489,74.67,6943921.30247432,NA,NA,NA
"Cyprus",1989,5.36805852482005,76.64,20319132.308,NA,NA,NA
"Denmark",1989,1.98409295145479,75.1,47510472.5517252,NA,NA,NA
"Djibouti",1989,7.59690316080839,60.72,NA,NA,NA,NA
"Dominican Republic",1989,0.799660361118172,71.2,3994984.31285918,NA,NA,NA
"Ecuador",1989,1.9846686301487,70.64,2589479.2102536,NA,NA,NA
"Egypt",1989,5.07871331815077,64.76,2229026.40820452,NA,NA,NA
"El Salvador",1989,5.47886947816985,66.55,3037623.03102954,NA,NA,NA
"Ethiopia",1989,6.8629722999468,44.82,257433.294095992,NA,NA,NA
"Fiji",1989,2.45684979413195,64.88,3484444.94731272,NA,NA,NA
"Finland",1989,1.51261700537424,75.07,39817915.449023,NA,NA,NA
"France",1989,3.50728948733089,76.91,36692583.0857906,NA,NA,NA
"Gambia",1989,0.960712826862907,60.81,1178926.91294759,NA,NA,NA
"Germany",1989,2.4820817684467,75.51,37566910.0530924,NA,NA,NA
"Ghana",1989,0.423365832993063,57.47,439815.201636718,NA,NA,NA
"Greece",1989,3.39078728889475,76.66,19566045.3428237,NA,NA,NA
"Guatemala",1989,1.53686362847917,64.02,2866489.40895746,NA,NA,NA
"Guinea-Bissau",1989,2.07221108806257,51.09,352092.122001142,NA,NA,NA
"Guyana",1989,1.20038729605497,64.01,1252493.03905537,NA,NA,NA
"Hungary",1989,3.08956236617246,69.53,8940427.54416856,NA,NA,NA
"India",1989,3.42678501264241,57.93,612343.457686742,NA,NA,NA
"Indonesia",1989,0.855877409082751,63.55,1105273.794758,NA,NA,NA
"Iran",1989,2.41027478381451,64.43,2314113.82994168,NA,NA,NA
"Ireland",1989,1.00926408045563,75.87,25973596.7040448,NA,NA,NA
"Israel",1989,13.2758475408522,76.24,29508964.1042798,NA,NA,NA
"Italy",1989,2.22721256261691,76.94,32580664.2721404,NA,NA,NA
"Jamaica",1989,0.533495810285893,74.83,6102560.42075174,NA,NA,NA
"Japan",1989,0.928537952547232,78.97,65081003.383077,NA,NA,NA
"Jordan",1989,9.27448252603179,71.2,3324097.95714374,NA,NA,NA
"Kenya",1989,2.75991011953351,62,893922.747267634,NA,NA,NA
"South Korea",1989,4.19053527060777,71.29,12780025.1625641,NA,NA,NA
"Kuwait",1989,8.53994849249626,76.92,NA,NA,NA,NA
"Lesotho",1989,5.76119245241926,59.92,588663.148400556,NA,NA,NA
"Luxembourg",1989,0.763239969952611,74.49,62444082.2707966,NA,NA,NA
"Madagascar",1989,1.21084069374614,55.43,578173.750877412,NA,NA,NA
"Malawi",1989,1.43338956559339,48.64,259870.789082806,NA,NA,NA
"Malaysia",1989,2.62370173042603,71.54,4891818.58285772,NA,NA,NA
"Mali",1989,2.29508205986205,49.47,390189.6023664,NA,NA,NA
"Malta",1989,1.0057801068697,76.84,12663613.7153895,NA,NA,NA
"Mauritania",1989,3.92556150540875,59.25,1019074.73478109,NA,NA,NA
"Mauritius",1989,0.288802925698616,68.99,4849353.23290458,NA,NA,NA
"Mexico",1989,0.517255853879605,71.09,9517458.04790174,NA,NA,NA
"Mongolia",1989,7.92105014102422,61.98,1095713.2690334,NA,NA,NA
"Morocco",1989,4.33556488419329,67.06,2297793.5596,NA,NA,NA
"Mozambique",1989,3.41683470894129,51.08,369900.477779042,NA,NA,NA
"Myanmar",1989,2.96793022751057,57.26,NA,NA,NA,NA
"Nepal",1989,1.10676718681737,57.53,346474.109028816,NA,NA,NA
"Netherlands",1989,2.67417067271156,76.82,36451787.8974736,NA,NA,NA
"New Zealand",1989,1.85682921682227,75.05,23461504.7514214,NA,NA,NA
"Nigeria",1989,0.578300561485361,53.98,679635.347136,NA,NA,NA
"Norway",1989,2.91015709214252,76.52,54297690.8178032,NA,NA,NA
"Oman",1989,16.6777666777667,71.41,14101729.5151597,NA,NA,NA
"Pakistan",1989,6.62557057289434,61.78,885722.071476224,NA,NA,NA
"Panama",1989,2.08695652173913,74.62,5543509.26919362,NA,NA,NA
"Papua New Guinea",1989,1.49719276356831,55.7,1197886.63919824,NA,NA,NA
"Paraguay",1989,1.19781274975611,73.91,2782051.25526572,NA,NA,NA
"Peru",1989,0.262336719903553,68.14,3581952.86547074,NA,NA,NA
"Philippines",1989,2.24292339676955,67.34,1973235.16486247,NA,NA,NA
"Poland",1989,1.8171261178495,71.25,NA,NA,NA,NA
"Portugal",1989,2.43633721799179,74.58,16840377.2782453,NA,NA,NA
"Romania",1989,4.75,69.99,4023852.98718344,NA,NA,NA
"Russia",1989,23.3856897095097,69.57,5386195.79069606,97.9860548303032,NA,NA
"Rwanda",1989,1.71197252447335,50.23,480271.154278614,NA,NA,NA
"Saudi Arabia",1989,13.3902791216407,73.39,17056961.6499887,NA,NA,NA
"Senegal",1989,1.9453093664912,57.41,989780.478327756,NA,NA,NA
"Seychelles",1989,4.22745548535325,69.22,10645762.0106356,NA,NA,NA
"Sierra Leone",1989,1.03397608633813,51.98,499308.406646944,NA,NA,NA
"Singapore",1989,4.49157523510972,74.51,29812466.78216,NA,NA,NA
"Somalia",1989,0.750697102648745,48.98,NA,NA,NA,NA
"South Africa",1989,3.77548911709291,61.69,6453849.53901602,NA,NA,NA
"Spain",1989,1.93700286424523,76.89,21878261.501724,NA,NA,NA
"Sri Lanka",1989,1.78648701223942,70.32,1097289.14835123,NA,NA,NA
"Swaziland",1989,1.37870659358944,60.5,2257830.4944082,NA,NA,NA
"Sweden",1989,2.46304521263473,77.67,46875327.559263,NA,NA,NA
"Switzerland",1989,1.65231327487345,77.68,66672435.784721,NA,NA,NA
"Syria",1989,7.42010198789623,70.14,1827757.18442016,NA,NA,NA
"Tanzania",1989,2.38264299802761,55.39,587559.85894,NA,NA,NA
"Thailand",1989,2.61175054404024,70.76,2536657.63564484,NA,NA,NA
"Togo",1989,3.09405301208037,57.65,584824.802774442,NA,NA,NA
"Tunisia",1989,2.31493550506262,71.13,3153584.92697646,NA,NA,NA
"Turkey",1989,3.16728685369202,67.53,6421460.27488186,NA,NA,NA
"Uganda",1989,3.48632177409082,51.08,361979.654989102,NA,NA,NA
"United Kingdom",1989,3.8977752563424,75.36,39982799.3886576,NA,NA,NA
"United States",1989,5.59010607202603,75.1,56196801.4467116,NA,NA,NA
"Uruguay",1989,3.52912606820446,72.81,10548018.7980826,NA,NA,NA
"Vietnam",1989,7.28651280963877,69,441199.301824008,87.5964506236685,NA,NA
"Zambia",1989,4.16808612591489,52.59,799967.906512482,NA,NA,NA
"Zimbabwe",1989,4.55111490043303,63.81,1033457.02403071,NA,NA,NA
"Albania",1990,5.88830083175259,73.3,1955531.05965433,NA,NA,NA
"Algeria",1990,1.4573587554321,70.2,3665486.7387934,NA,"0.06",NA
"Argentina",1990,1.36821335532423,72.5,11163924.6828859,NA,"0.3",NA
"Australia",1990,2.10441979609988,77,35106753.6834616,NA,"0.1",NA
"Austria",1990,1.19733665316345,75.7,38384143.4413086,NA,"0.06",NA
"Bahrain",1990,5.1056338028169,71.8,18855712.1581557,NA,NA,NA
"Bangladesh",1990,1.1106479349686,57.9,560347.367437412,NA,"0.06",NA
"Belgium",1990,2.28952144677842,76,37475917.564368,NA,"0.06",NA
"Belize",1990,1.14998188693793,71.4,4953635.05995258,NA,"0.5",NA
"Benin",1990,1.77174009393457,56.1,591566.570249558,NA,"0.2",NA
"Bolivia",1990,2.82326068349941,61.6,1742452.15461123,NA,"0.1",NA
"Botswana",1990,4.12628414641928,62.3,4671668.74036828,NA,"3.5",NA
"Brazil",1990,6.32966494325592,67.9,6705930.8067672,NA,"0.45",NA
"Brunei",1990,6.56636890769472,73.8,38150034.9696466,NA,NA,NA
"Bulgaria",1990,3.7452690131946,71.4,3341896.6000665,NA,"0.06",NA
"Burkina Faso",1990,2.25018505067082,51.4,333682.554835626,NA,"3.9",NA
"Burundi",1990,3.50736029874457,45.6,363890.741872536,37.3847234431165,"3.9",NA
"Cameroon",1990,1.49427344217959,58.4,1330821.28413648,NA,"0.6",NA
"Canada",1990,1.9587569732366,77.4,39123758.6729414,NA,"0.1",NA
"Chile",1990,4.15700293390874,73.1,6135301.16038876,NA,"0.06",NA
"China",1990,2.62484063467575,66.7,783305.905774058,77.7850586373638,NA,NA
"Colombia",1990,2.20979485886035,71.5,4649687.2667112,NA,"0.2",NA
"Cote d'Ivoire",1990,1.33363727100203,55.3,1325735.06939753,NA,"2.4",NA
"Cuba",1990,6.40627829058045,74.7,6677570.16826746,NA,"0.06",NA
"Cyprus",1990,7.3740356066831,76.8,21363529.602,NA,NA,NA
